"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"5896",1610.61580555015,1477.63582645924,1743.59578464105,1407.24047779086,1813.99113330944
"5897",1610.91129024668,1477.12437398457,1744.69820650879,1406.30185858095,1815.52072191241
"5898",1611.20677494321,1476.61775946709,1745.79579041933,1405.37063838807,1817.04291149835
"5899",1611.50225963974,1476.11589691905,1746.88862236043,1404.4466857053,1818.55783357418
"5900",1611.79774433627,1475.6187028701,1747.97678580244,1403.52987287575,1820.06561579679
"5901",1612.0932290328,1475.1260962653,1749.0603618003,1402.62007593659,1821.56638212901
"5902",1612.38871372933,1474.63799836837,1750.13942909029,1401.71717447107,1823.06025298759
"5903",1612.68419842586,1474.1543326699,1751.21406418182,1400.82105146816,1824.54734538356
"5904",1612.97968312239,1473.67502480017,1752.28434144461,1399.93159318917,1826.02777305561
"5905",1613.27516781892,1473.20000244627,1753.35033319157,1399.04868904105,1827.5016465968
"5906",1613.57065251545,1472.72919527334,1754.41210975757,1398.17223145591,1828.96907357499
"5907",1613.86613721198,1472.26253484965,1755.46973957431,1397.30211577648,1830.43015864748
"5908",1614.16162190851,1471.79995457529,1756.52328924174,1396.43824014695,1831.88500367007
"5909",1614.45710660504,1471.3413896142,1757.57282359588,1395.58050540915,1833.33370780093
"5910",1614.75259130157,1470.88677682951,1758.61840577363,1394.72881500356,1834.77636759959
"5911",1615.0480759981,1470.43605472181,1759.6600972744,1393.88307487493,1836.21307712128
"5912",1615.34356069463,1469.9891633703,1760.69795801897,1393.04319338233,1837.64392800694
"5913",1615.63904539116,1469.54604437665,1761.73204640568,1392.20908121321,1839.06900956912
"5914",1615.93453008769,1469.10664081139,1762.762419364,1391.38065130148,1840.48840887391
"5915",1616.23001478422,1468.67089716271,1763.78913240574,1390.55781874911,1841.90221081934
"5916",1616.52549948076,1468.23875928748,1764.81223967403,1389.74050075138,1843.31049821013
"5917",1616.82098417729,1467.81017436453,1765.83179399004,1388.92861652523,1844.71335182934
"5918",1617.11646887382,1467.38509084983,1766.8478468978,1388.12208724092,1846.11085050671
"5919",1617.41195357035,1466.96345843375,1767.86044870694,1387.32083595646,1847.50307118423
"5920",1617.70743826688,1466.54522799998,1768.86964853377,1386.52478755497,1848.89008897878
"5921",1618.00292296341,1466.13035158635,1769.87549434047,1385.73386868463,1850.27197724218
"5922",1618.29840765994,1465.71878234716,1770.87803297271,1384.94800770114,1851.64880761873
"5923",1618.59389235647,1465.31047451718,1771.87731019575,1384.16713461259,1853.02065010034
"5924",1618.889377053,1464.90538337703,1772.87337072896,1383.39118102662,1854.38757307938
"5925",1619.18486174953,1464.50346522006,1773.86625827899,1382.62008009965,1855.7496433994
"5926",1619.48034644606,1464.10467732051,1774.85601557161,1381.85376648829,1857.10692640383
"5927",1619.77583114259,1463.70897790296,1775.84268438222,1381.09217630254,1858.45948598263
"5928",1620.07131583912,1463.31632611303,1776.82630556521,1380.33524706102,1859.80738461721
"5929",1620.36680053565,1462.92668198916,1777.80691908214,1379.5829176478,1861.1506834235
"5930",1620.66228523218,1462.54000643555,1778.78456402881,1378.83512827101,1862.48944219335
"5931",1620.95776992871,1462.15626119613,1779.75927866129,1378.09182042302,1863.8237194344
"5932",1621.25325462524,1461.77540882949,1780.73110042099,1377.35293684219,1865.15357240829
"5933",1621.54873932177,1461.39741268487,1781.70006595867,1376.61842147596,1866.47905716758
"5934",1621.8442240183,1461.0222368789,1782.6662111577,1375.88821944549,1867.80022859111
"5935",1622.13970871483,1460.64984627334,1783.62957115632,1375.16227701145,1869.11714041821
